latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-8.812999999999999,-73.808,315.8,1.2,1.1,10/19/2018,1825,A,68,6.0NRT,293.7,9.7,D,1,2018-10-19,297.81,90,992.87,297.81,297.81
-8.814,-73.819,328.9,1.2,1.1,10/19/2018,1825,A,83,6.0NRT,297.2,27.3,D,1,2018-10-19,297.81,90,992.87,297.81,297.81
-8.927,-74.788,318.6,1.4,1.2,10/19/2018,1825,A,21,6.0NRT,293.8,12.3,D,0,2018-10-19,301.15,78,1009.0,301.15,301.15
-8.908999999999999,-74.815,320.2,1.4,1.2,10/19/2018,1825,A,75,6.0NRT,293.7,16.7,D,1,2018-10-19,301.15,78,1009.0,301.15,301.15
-8.383,-73.801,313.6,1.2,1.1,10/19/2018,1825,A,46,6.0NRT,294.9,9.0,D,0,2018-10-19,297.26,94,987.52,297.26,297.26
-8.508,-75.111,321.7,1.4,1.2,10/19/2018,1825,A,78,6.0NRT,294.0,21.5,D,1,2018-10-19,301.15,78,1009.0,301.15,301.15
-8.509,-75.124,320.7,1.4,1.2,10/19/2018,1825,A,77,6.0NRT,293.7,20.1,D,1,2018-10-19,301.15,78,1009.0,301.15,301.15
-8.502,-75.119,328.4,1.4,1.2,10/19/2018,1825,A,72,6.0NRT,294.0,33.9,D,1,2018-10-19,301.15,78,1009.0,301.15,301.15
-6.483,-75.73899999999999,320.5,1.5,1.2,10/19/2018,1825,A,57,6.0NRT,286.0,20.9,D,0,2018-10-19,298.15,88,1008.0,298.15,298.15
-6.484,-75.752,382.2,1.5,1.2,10/19/2018,1825,A,100,6.0NRT,295.3,275.3,D,1,2018-10-19,298.15,88,1008.0,298.15,298.15
-6.486000000000001,-75.765,331.6,1.5,1.2,10/19/2018,1825,A,66,6.0NRT,293.1,43.9,D,1,2018-10-19,298.15,88,1008.0,298.15,298.15
-6.481,-75.758,363.4,1.5,1.2,10/19/2018,1825,A,75,6.0NRT,286.5,156.2,D,1,2018-10-19,298.15,88,1008.0,298.15,298.15
